layer,d_new,percentile,ce_raw,ce_base,ce_full,dce_base,dce_full,base_mean_cos,base_mean_l2,base_orig_mean,base_orig_std,base_rec_mean,base_rec_std,full_mean_cos,full_mean_l2,full_orig_mean,full_orig_std,full_rec_mean,full_rec_std,n_tokens_base,n_tokens_full
0,64,0.75,2.2988252569750367,12.114537444933921,2.412903817914831,9.815712187958884,0.1140785609397943,0.374269985448459,19.98561055415458,-0.009067535400390625,1.1884114583333334,-0.4085173944632212,19.781236362457275,0.8321895297569565,0.45003521895106835,-0.009067535400390625,1.1884114583333334,-0.008041006055039664,1.1211841831604639,1422,1422
1,64,0.75,2.2988252569750367,18.867107195301028,2.3494860499265786,16.568281938325992,0.05066079295154191,0.8092638960032188,34.61201195911349,0.0205322265625,1.1358072916666666,0.7238889207442601,33.169443957010905,0.9038187702999839,0.3771796169495616,0.0205322265625,1.1358072916666666,0.02168123417844375,1.1083784759044648,1422,1422
2,64,0.75,2.2988252569750367,17.770190895741557,2.3550844346549193,15.471365638766521,0.056259177679882644,0.5350581308625083,28.811507255886845,0.004977782567342122,0.7938151041666667,-0.1357693376640479,21.79398956298828,0.7672083897597344,0.5719830181695909,0.004977782567342122,0.7938151041666667,0.003823688140012867,0.6234497139851253,1422,1422
3,64,0.75,2.2988252569750367,13.356093979441997,2.355818649045521,11.057268722466961,0.05699339207048437,0.48479953563330713,31.356424452383308,0.0068837165832519535,0.9287109375,-0.4563232103983561,24.716896533966064,0.7762955975431933,0.5707367650231899,0.0068837165832519535,0.9287109375,0.006569069131122281,0.7840516378482183,1422,1422
4,64,0.75,2.2988252569750367,16.814977973568283,2.3786710719530104,14.516152716593247,0.07984581497797372,0.5924600558944896,29.86572042430336,-0.0032151381174723307,1.05390625,-0.6834390918413799,28.924455579121908,0.7630326825019847,0.5936762471742267,-0.0032151381174723307,1.05390625,-0.0038097499462310227,0.885186509291331,1422,1422
5,64,0.75,2.2988252569750367,23.13509544787078,2.334067547723935,20.836270190895743,0.03524229074889851,0.6329236805187499,31.449137434174744,0.017314656575520834,1.0444661458333333,0.32795789688825605,30.27112642923991,0.779538723319224,0.5659363866690678,0.017314656575520834,1.0444661458333333,0.01740270742836098,0.8958043744166692,1422,1422
6,64,0.75,2.2988252569750367,14.165198237885463,2.340491923641703,11.866372980910427,0.04166666666666652,0.34699716480807746,24.062211027292932,0.013619232177734374,1.116015625,0.0206024944105593,22.983859221140545,0.6577921168545966,0.6957084233918438,0.013619232177734374,1.116015625,0.0142475115833804,0.9540158649285634,1422,1422
7,64,0.75,2.2988252569750367,15.654919236417033,2.4163913362701908,13.356093979441997,0.11756607929515406,0.5501640688014936,23.565857341353233,0.02166468302408854,1.3217447916666667,0.04039493615273386,27.104138628641763,0.6531835725706505,0.7818461336331696,0.02166468302408854,1.3217447916666667,0.022797878715209663,1.320533182223638,1422,1422
8,64,0.75,2.2988252569750367,12.104625550660794,2.3597650513950073,9.805800293685756,0.06093979441997055,0.3132445911147256,20.82109016171655,0.015973695119222007,1.221484375,-0.3511592070261637,24.523049799601235,0.7221775792654389,0.6333841804713639,0.015973695119222007,1.221484375,0.014540487186362345,1.0561555167039236,1422,1422
9,64,0.75,2.2988252569750367,18.313509544787077,2.3193832599118944,16.01468428781204,0.020558002936857722,0.12716412305328917,14.90064683745179,0.019554583231608073,1.6911458333333333,-0.5706657628218333,16.713157097498577,0.6220525997768139,0.7055261135101318,0.019554583231608073,1.6911458333333333,0.019478858925867825,1.5708125213781992,1422,1422
10,64,0.75,2.2988252569750367,20.70337738619677,2.3119493392070485,18.404552129221734,0.01312408223201178,0.06929135678857355,16.55474770890677,0.006299448013305664,1.4149739583333334,-0.04474714662258824,18.19214874903361,0.5884187013623416,0.7245579758441566,0.006299448013305664,1.4149739583333334,0.007194570719245045,1.2424172272284826,1422,1422
11,64,0.75,2.2988252569750367,16.17180616740088,2.319291483113069,13.872980910425845,0.020466226138032173,0.4271635157481863,18.18320217213047,0.014055887858072916,1.66484375,-0.13767497825125855,22.98327906926473,0.6976985609481103,0.6456672078949489,0.014055887858072916,1.66484375,0.014689378543456163,1.5153120438257852,1422,1422
12,64,0.75,2.2988252569750367,19.084434654919235,2.328193832599119,16.7856093979442,0.02936857562408246,0.24581150851001551,21.54262378547765,0.0025921980539957683,1.2819010416666667,-0.26785171230634053,25.906310653686525,0.5870829554046759,0.728327904069474,0.0025921980539957683,1.2819010416666667,0.0038164539143811754,1.0693532397349677,1422,1422
13,64,0.75,2.2988252569750367,14.845814977973568,2.3493942731277535,12.546989720998532,0.050569016152716806,0.2746229205285782,20.995710348781152,-0.01226820945739746,1.709765625,-0.40335322767496107,35.12700875600179,0.48971073436334667,1.060729399009093,-0.01226820945739746,1.709765625,-0.011073296724741036,1.840867785612742,1422,1422
