layer,d_new,percentile,ce_raw,ce_base,ce_full,dce_base,dce_full,base_mean_cos,base_mean_l2,base_orig_mean,base_orig_std,base_rec_mean,base_rec_std,full_mean_cos,full_mean_l2,full_orig_mean,full_orig_std,full_rec_mean,full_rec_std,n_tokens_base,n_tokens_full
0,32,0.75,2.2988252569750367,12.114537444933921,2.433186490455213,9.815712187958884,0.13436123348017626,0.374269985448459,19.98561055415458,-0.009067535400390625,1.1884114583333334,-0.4085173944632212,19.781236362457275,0.7842555213745804,0.5392423447342026,-0.009067535400390625,1.1884114583333334,-0.008186685520922766,1.1029397477706273,1422,1422
1,32,0.75,2.2988252569750367,18.867107195301028,2.3483847283406756,16.568281938325992,0.049559471365638874,0.8092638960032188,34.61201195911349,0.0205322265625,1.1358072916666666,0.7238889207442601,33.169443957010905,0.8867759114411645,0.4250422836859015,0.0205322265625,1.1358072916666666,0.021523612551391125,1.1160112728675207,1422,1422
2,32,0.75,2.2988252569750367,17.770190895741557,2.357837738619677,15.471365638766521,0.059012481644640236,0.5350581308625083,28.811507255886845,0.004977782567342122,0.7938151041666667,-0.1357693376640479,21.79398956298828,0.7327817113422979,0.6257483322073807,0.004977782567342122,0.7938151041666667,0.003740317370693447,0.6033308933178584,1422,1422
3,32,0.75,2.2988252569750367,13.356093979441997,2.35352422907489,11.057268722466961,0.054698972099853194,0.48479953563330713,31.356424452383308,0.0068837165832519535,0.9287109375,-0.4563232103983561,24.716896533966064,0.7480424989627886,0.6199862172331991,0.0068837165832519535,0.9287109375,0.006682735440942149,0.7744080265363057,1422,1422
4,32,0.75,2.2988252569750367,16.814977973568283,2.3812408223201174,14.516152716593247,0.08241556534508065,0.5924600558944896,29.86572042430336,-0.0032151381174723307,1.05390625,-0.6834390918413799,28.924455579121908,0.7312624598689555,0.6455684928786738,-0.0032151381174723307,1.05390625,-0.004064841112752523,0.8699104825655619,1422,1422
5,32,0.75,2.2988252569750367,23.13509544787078,2.33571953010279,20.836270190895743,0.03689427312775351,0.6329236805187499,31.449137434174744,0.017314656575520834,1.0444661458333333,0.32795789688825605,30.27112642923991,0.7447859224890858,0.6446750928581012,0.017314656575520834,1.0444661458333333,0.018299370103826127,0.9873928219079972,1422,1422
6,32,0.75,2.2988252569750367,14.165198237885463,2.3398494860499266,11.866372980910427,0.041024229074889895,0.34699716480807746,24.062211027292932,0.013619232177734374,1.116015625,0.0206024944105593,22.983859221140545,0.6065722537946098,0.758408043454971,0.013619232177734374,1.116015625,0.014295378373935819,0.9369852910439174,1422,1422
7,32,0.75,2.2988252569750367,15.654919236417033,2.4473201174743027,13.356093979441997,0.14849486049926597,0.5501640688014936,23.565857341353233,0.02166468302408854,1.3217447916666667,0.04039493615273386,27.104138628641763,0.6058259154506206,0.8638669193713139,0.02166468302408854,1.3217447916666667,0.02293572562824314,1.3485819260279337,1422,1422
8,32,0.75,2.2988252569750367,12.104625550660794,2.369952276064611,9.805800293685756,0.07112701908957408,0.3132445911147256,20.82109016171655,0.015973695119222007,1.221484375,-0.3511592070261637,24.523049799601235,0.6967602077918716,0.6744594919362987,0.015973695119222007,1.221484375,0.014389659534208477,1.0471870005130768,1422,1422
9,32,0.75,2.2988252569750367,18.313509544787077,2.3251651982378854,16.01468428781204,0.026339941262848665,0.12716412305328917,14.90064683745179,0.019554583231608073,1.6911458333333333,-0.5706657628218333,16.713157097498577,0.5789191300355936,0.7641249467551959,0.019554583231608073,1.6911458333333333,0.019947180074329177,1.5683805386225382,1422,1422
10,32,0.75,2.2988252569750367,20.70337738619677,2.310664464023495,18.404552129221734,0.01183920704845809,0.06929135678857355,16.55474770890677,0.006299448013305664,1.4149739583333334,-0.04474714662258824,18.19214874903361,0.5320349839501576,0.7829544319549862,0.006299448013305664,1.4149739583333334,0.007435586082283408,1.23111831843853,1422,1422
11,32,0.75,2.2988252569750367,16.17180616740088,2.3247980910425845,13.872980910425845,0.0259728340675478,0.4271635157481863,18.18320217213047,0.014055887858072916,1.66484375,-0.13767497825125855,22.98327906926473,0.6603840638145951,0.6957853366889364,0.014055887858072916,1.66484375,0.015412633672046165,1.5091814557711283,1422,1422
12,32,0.75,2.2988252569750367,19.084434654919235,2.331773127753304,16.7856093979442,0.03294787077826733,0.24581150851001551,21.54262378547765,0.0025921980539957683,1.2819010416666667,-0.26785171230634053,25.906310653686525,0.5126764214323878,0.8199617208810798,0.0025921980539957683,1.2819010416666667,0.0023541745758848265,1.0971380323171616,1422,1422
13,32,0.75,2.2988252569750367,14.845814977973568,2.3659140969162995,12.546989720998532,0.0670888399412628,0.2746229205285782,20.995710348781152,-0.01226820945739746,1.709765625,-0.40335322767496107,35.12700875600179,0.42107334183908884,1.24243642308038,-0.01226820945739746,1.709765625,-0.012540809575390692,1.999024744828542,1422,1422
14,32,0.75,2.2988252569750367,10.886930983847284,2.3528817914831133,8.588105726872246,0.05405653450807657,0.28082564946803695,18.17211724132425,-0.010183096428712209,1.7686197916666666,-0.6815281669298808,28.324989350636802,0.5679906216016466,0.8105258371591904,-0.010183096428712209,1.7686197916666666,-0.011140334617812187,1.5595792829990387,1422,1422
15,32,0.75,2.2988252569750367,13.041483113069017,2.3976688693098387,10.742657856093981,0.09884361233480199,0.27053028085228426,16.37592064579831,0.016355037689208984,2.13359375,0.3508877937992414,30.731544335683186,0.5406637446622138,0.8686491460572148,0.016355037689208984,2.13359375,0.016056613448017742,2.0239285945892336,1422,1422
16,32,0.75,2.2988252569750367,11.893538913362702,2.482745961820852,9.594713656387665,0.18392070484581513,0.3297748394656282,20.32825183466014,0.01305548350016276,2.212890625,0.02110763870878145,44.921725018819174,0.49944125817965523,1.1671896778916844,0.01305548350016276,2.212890625,0.01812221635482274,2.71291983127594,1422,1422
17,32,0.75,2.2988252569750367,10.997430249632894,2.5867290748898677,8.698604992657856,0.287903817914831,0.31795463515065725,20.97918956558077,-0.006059503555297852,2.31875,-0.3332945078611374,49.09526462554932,0.49489013353983563,1.296260856542574,-0.006059503555297852,2.31875,-0.0007842122848766546,3.2158629576365154,1422,1422
18,32,0.75,2.2988252569750367,22.523494860499266,2.9651248164464024,20.22466960352423,0.6662995594713657,0.42112888163152123,24.493658996667875,-0.03404159545898437,2.3411458333333335,-0.5214021916190783,57.79542954762777,0.42523105369170844,1.8954301396838054,-0.03404159545898437,2.3411458333333335,-0.03805458938538019,4.798585744698842,1422,1422
19,32,0.75,2.2988252569750367,24.31130690161527,2.6060939794419973,22.012481644640236,0.3072687224669606,0.47406174060161604,26.932611092568784,0.01165616512298584,2.398177083333333,0.44128795762856804,64.37267011006674,0.49565821257321646,1.2419703855125546,0.01165616512298584,2.398177083333333,0.011191323879271901,3.288019907474518,1422,1422
20,32,0.75,2.2988252569750367,15.077826725403819,2.59287812041116,12.779001468428781,0.29405286343612325,0.5092671859784133,23.299932444984233,-0.0039276123046875,2.570572916666667,-0.5316849942008655,60.828307469685875,0.5083447203522158,1.3145887640458118,-0.0039276123046875,2.570572916666667,-0.006726357443464319,3.9115755518277484,1422,1422
21,32,0.75,2.2988252569750367,9.566813509544787,2.567088839941263,7.26798825256975,0.2682635829662261,0.5046876110608065,23.339550077328365,-0.03788350423177083,2.896875,-1.5151579995950064,69.71475995381674,0.524102361225713,1.3024952535723164,-0.03788350423177083,2.896875,-0.03391325517441146,4.302072807153066,1422,1422
22,32,0.75,2.2988252569750367,8.538362701908957,2.6073788546255505,6.23953744493392,0.3085535976505138,0.48439144048677385,26.324805365668404,-0.026769510904947915,3.2861979166666666,-3.089118746916453,87.83096199035644,0.5394979321336276,1.5763877990711925,-0.026769510904947915,3.2861979166666666,-0.013686865240257855,6.086543083190918,1422,1422
23,32,0.75,2.2988252569750367,6.557911160058737,2.967511013215859,4.2590859030837,0.6686857562408224,0.552739310365186,19.209538713286193,0.0025995731353759765,3.62890625,-0.4972634183863799,74.50162506103516,0.5368421553894772,2.0429722414405704,0.0025995731353759765,3.62890625,0.010605108423139125,8.484035730361938,1422,1422
24,32,0.75,2.2988252569750367,8.431718061674008,3.4048274596182084,6.1328928046989715,1.1060022026431717,0.6781827196290221,19.659944494062334,-0.071795654296875,5.731770833333333,-3.300544532140096,122.6095698038737,0.6020944923288208,1.7974233452948505,-0.071795654296875,5.731770833333333,-0.07118480290082516,12.741679191589355,1422,1422
25,32,0.75,2.2988252569750367,10.94676945668135,6.556442731277533,8.647944199706313,4.257617474302497,0.7257660873831576,20.51187850587311,-0.09202880859375,6.805729166666667,-2.262968236207962,143.91167271931965,0.5850277590852246,2.4846002656531567,-0.09202880859375,6.805729166666667,-0.09994078707629038,18.89794397354126,1422,1422
