layer,d_new,percentile,ce_raw,ce_base,ce_full,dce_base,dce_full,base_mean_cos,base_mean_l2,base_orig_mean,base_orig_std,base_rec_mean,base_rec_std,full_mean_cos,full_mean_l2,full_orig_mean,full_orig_std,full_rec_mean,full_rec_std,n_tokens_base,n_tokens_full
0,64,0.25,2.2988252569750367,12.975770925110131,2.407580763582966,10.676945668135094,0.10875550660792932,0.3570373023109597,18.923749835179326,-0.009067535400390625,1.1884114583333334,-0.40611779193083447,18.722855536142983,0.8305859163340636,0.44955815226049195,-0.009067535400390625,1.1884114583333334,-0.008495193750907978,1.1170597046613693,1422,1422
1,64,0.25,2.2988252569750367,18.67254038179148,2.3515969162995596,16.373715124816446,0.05277165932452288,0.8079175560115595,35.08914836985485,0.0205322265625,1.1358072916666666,0.639863892396291,33.60966192881266,0.9001910911163029,0.38994408978356254,0.0205322265625,1.1358072916666666,0.02116778294245402,1.109039811293284,1422,1422
2,64,0.25,2.2988252569750367,22.523494860499266,2.3603157121879588,20.22466960352423,0.06149045521292207,0.5487891118737716,29.2427845028047,0.004977782567342122,0.7938151041666667,-0.11081152657667796,22.12637332280477,0.7575706181479238,0.582638483007246,0.004977782567342122,0.7938151041666667,0.003712942113149135,0.627614563703537,1422,1422
3,64,0.25,2.2988252569750367,12.8931718061674,2.3512298091042583,10.594346549192363,0.05240455212922157,0.49444138148665934,32.928525514240505,0.0068837165832519535,0.9287109375,-0.5231587797403335,25.860681184132893,0.7740527178500104,0.5710476963831905,0.0068837165832519535,0.9287109375,0.006514379816750685,0.7872010936339696,1422,1422
4,64,0.25,2.2988252569750367,18.37151248164464,2.3859214390602057,16.072687224669604,0.087096182085169,0.5948443811821703,30.97891237497665,-0.0032151381174723307,1.05390625,-0.38524130135774615,29.89430046081543,0.775438075327169,0.5747606063526224,-0.0032151381174723307,1.05390625,-0.0035969455189236517,0.869829848408699,1422,1422
5,64,0.25,2.2988252569750367,23.52202643171806,2.334067547723935,21.223201174743025,0.03524229074889851,0.629555799454744,34.31138209518669,0.017314656575520834,1.0444661458333333,0.32597378293673196,32.938178062438965,0.7465066259252706,0.6195111646933897,0.017314656575520834,1.0444661458333333,0.017178481444716454,0.9280985862016677,1422,1422
6,64,0.25,2.2988252569750367,14.1071953010279,2.340308370044053,11.808370044052865,0.04148311306901631,0.4336785448586723,25.0671451745657,0.013619232177734374,1.116015625,0.34273542861143746,23.44576333363851,0.6950559978243671,0.6563930913868836,0.013619232177734374,1.116015625,0.014557677639337878,0.934197723865509,1422,1422
7,64,0.25,2.2988252569750367,13.459618208516886,2.3733480176211454,11.16079295154185,0.07452276064610874,0.6205079304015083,25.289099005204214,0.02166468302408854,1.3217447916666667,0.2671367590626081,30.073486646016438,0.7245820852942272,0.6327956956817798,0.02166468302408854,1.3217447916666667,0.021731649804860354,1.205019038915634,1422,1422
8,64,0.25,2.2988252569750367,11.305800293685756,2.341868575624082,9.00697503671072,0.043043318649045315,0.47160692255205244,22.56510489634153,0.015973695119222007,1.221484375,0.037691146828001364,24.65890556971232,0.7456368709247659,0.6056754800337779,0.015973695119222007,1.221484375,0.01415322330625107,1.0360730777184168,1422,1422
9,64,0.25,2.2988252569750367,19.32819383259912,2.3226872246696035,17.029368575624083,0.023861967694566832,0.38641231874876386,16.91544390328323,0.019554583231608073,1.6911458333333333,-0.36635967791080476,18.940885988871255,0.6187990607088628,0.7073462227393471,0.019554583231608073,1.6911458333333333,0.018704866028080382,1.571763288974762,1422,1422
